4485;0;0;0
4756;0;0;-133
5207;0;-3;-131
5656;0;-5;-132
6107;0;-3;-132
6557;0;-5;-132
7008;0;-4;-132
7457;1;-5;-132
7908;1;-5;-131
8770;1;-5;-131
9221;1;-6;-131
9671;1;-6;-131
10122;1;-6;-131
10571;1;-6;-131
11022;2;-5;-132
11472;2;-5;-132
11922;2;-5;-113
12372;3;-4;-93
12823;2;-5;-83
13279;1;-5;-78
13729;0;-5;-77
14182;2;-3;-65
14633;2;-4;-50
15086;3;-3;-36
15537;1;-5;-23
15987;-21;-6;-22
16439;-24;-4;-16
16889;-9;1;-20
17340;-14;20;-23
17790;-13;32;-23
18253;-9;37;-26
18704;-44;18;-26
19156;-25;-5;-26
19608;-7;8;-17
20059;11;5;-23
20509;11;33;-20
20961;5;67;-18
21411;-4;350;-22
21863;-7;350;-21
22313;1;132;-19
22781;16;4;-15
23232;26;461;-14
23686;1499;758;163
24137;56;249;-55
24589;0;-115;-93
25039;-57;-108;-110
25491;-49;-75;-104
25943;-76;-14;-35
26394;-249;80;-26
26845;-338;190;-22
27296;-395;269;-12
27759;-456;357;4
28211;-405;419;1
28661;-356;444;-21
29113;-392;442;-71
29564;-345;404;-73
30016;-298;344;-71
30468;-166;182;-29
30918;-48;51;-28
31375;-1;1;-27
31828;14;69;-40
32291;15;207;-69
32742;19;250;-91
33193;15;192;-88
33645;5;65;-81
34096;5;6;-87
34546;14;-3;-66
34998;10;-5;-62
35448;3;10;-58
35899;-11;112;-66
36350;-12;262;-62
36812;-40;165;-51
37264;-55;71;-37
37714;-53;33;-31
38165;-70;-1;-25
38617;-182;15;-22
39067;-242;25;-17
39521;-157;86;-15
39974;-21;56;-12
40426;30;30;-16
40877;38;16;-15
41328;33;18;-73
41790;25;30;-26
42242;-1;43;-23
42693;0;17;-24
43144;2;32;-23
43594;3;38;-36
44046;0;48;-31
44496;-11;25;-20
44949;-2;10;-20
45401;1;0;-24
45851;0;7;-31
46313;-7;188;-30
46765;-14;227;-42
47216;-34;491;-56
47670;2;-44;-33
48120;20;-104;-23
48570;-92;-20;-16
49020;-175;-1;-142
49472;-76;7;-27
49923;-24;11;-17
50374;-138;5;-18
50825;-76;15;-15
51288;-13;14;-18
51738;7;-3;-16
52189;11;-14;-18
52639;15;-18;-24
53091;-6;6;-22
53541;-9;14;-21
53992;-3;4;-22
54443;5;-17;-19
54894;0;-11;-25
55345;4;-15;-27
55810;-5;-11;-37
56261;-148;58;-79
56715;-217;143;-43
57166;-302;199;-25
57618;-445;277;-176
58072;-503;369;57
58522;-479;476;6
58974;-356;520;-37
59424;-344;514;-56
59876;-152;405;-68
60326;-28;152;-35
60789;-65;46;-27
61241;-119;9;-20
61691;-58;8;-15
62143;-5;8;-13
62594;29;-73;-20
63045;23;-32;-29
63498;20;1;-19
63949;54;6;-21
64400;82;4;-26
64850;30;25;-29
65315;33;60;-13
65767;46;9;-6
66217;67;-1;-17
66668;110;-7;-29
67120;79;0;-33
67570;35;0;-28
68022;6;-4;-25
68472;-11;8;-24
68924;-31;12;-20
69374;-21;12;-23
69826;-5;34;-24
70288;5;33;-24
70738;11;12;-24
71192;5;11;-25
71646;-22;31;-26
72096;-19;17;-24
72548;-10;8;-25
72998;3;4;-27
73450;18;10;-54
73901;4;-13;-80
74350;8;-10;-113
74812;10;-8;-134
75262;11;-5;-143
75713;12;-3;-148
76165;12;-2;-151
76615;13;-1;-152
77066;13;0;-153
77516;13;0;-153
77967;13;0;-154
78417;14;1;-154
78868;14;1;-154
79319;14;1;-154
79781;12;11;-154
80232;-18;-127;-141
80686;302;-453;-81
81137;415;-352;-34
81589;425;-335;159
82040;533;-338;178
82491;643;-222;171
82946;702;-223;158
83396;759;-364;168
83848;577;-454;158
84313;559;-634;169
84764;588;-767;-176
85216;426;-767;160
85666;418;-803;157
86118;1600;-861;-75
86569;-1592;-867;-32
87020;733;-725;-160
87472;582;-516;172
87925;516;-463;173
88376;380;-419;166
88839;413;-310;162
89289;370;-335;161
89741;219;-386;162
90192;264;-295;162
90643;382;-240;161
91095;461;-154;156
91546;646;-204;163
92000;844;-333;171
92451;850;-369;172
92902;841;-453;173
93353;844;-569;-173
93815;735;-542;176
94267;662;-540;170
94718;629;-490;167
95169;646;-400;162
95626;677;-428;168
96077;654;-475;175
96528;654;-499;177
96978;586;-473;176
97430;694;-467;-176
97881;656;-444;177
98343;516;-388;-180
98795;620;-471;-180
99246;670;-504;-178
99697;712;-538;-175
100148;632;-490;169
100599;610;-396;173
101053;629;-368;170
101505;669;-478;175
101956;623;-541;176
102408;559;-513;167
102858;546;-524;172
103323;730;-671;-169
103775;475;-814;169
104226;354;-808;162
104677;53;-793;129
105128;-638;-793;61
105580;-1014;-206;57
106031;-1038;-123;69
106484;-988;-225;75
106936;-994;-199;75
107387;-1040;-211;79
107850;-996;-159;83
108301;-1044;-261;78
108752;-1001;-198;90
109204;-981;-179;93
109654;-1059;-184;91
110107;-998;-95;104
110559;-1052;-255;98
111010;-1037;-238;109
111462;-1041;-209;103
111912;-1088;-197;101
112375;-1048;-143;114
112827;-1040;-125;131
113278;-1109;-82;157
113730;-1138;-60;-177
114182;-1128;-25;-171
114632;-1178;81;-177
115084;-1165;127;-178
115535;-1163;123;177
115987;-1175;132;177
116438;-1143;123;174
116889;-1128;141;173
117357;-1118;139;173
117811;-1115;136;172
118261;-1107;142;172
118713;-1095;136;171
119164;-1159;38;176
119615;-1292;-412;160
120067;-1579;-496;101
120518;-1668;-325;68
120970;-1740;-61;39
121421;-1768;-14;29
121883;1783;51;24
122335;-1793;57;24
122785;-1794;60;24
123237;-1796;60;24
123687;-1796;60;25
