4509;0;-2;61;0;0;0
4872;-7;-12;500;0;0;0
5322;0;-3;499;0;0;0
5773;1;-4;498;0;-1;0
6223;1;-3;500;0;-1;0
6674;0;-4;499;0;0;0
7123;1;-4;500;0;0;0
7574;0;-4;499;0;0;0
8436;1;-4;498;0;0;0
8887;1;-4;499;0;-1;0
9337;0;-4;499;0;-1;0
9788;1;-4;500;0;-1;0
10237;0;-4;499;0;0;0
10688;1;-4;498;0;0;0
11139;1;-4;499;1;0;0
11588;0;-4;499;1;0;0
12039;10;-5;494;-3;-6;0
12488;-8;-1;506;6;2;0
12939;4;-3;506;9;0;-2
13395;-11;-5;485;8;5;-1
13846;-18;11;512;8;0;1
14299;-1;-8;497;-1;23;5
14749;14;2;494;-8;-5;-1
15203;-4;7;496;-2;7;0
15653;-4;-19;489;-23;29;-2
16104;-26;-9;512;4;31;16
16555;1;-20;477;33;21;3
17005;-7;-6;464;-2;24;-17
17457;-14;18;460;67;-6;-19
17918;-25;16;441;10;-10;-9
18369;-13;1;559;7;-23;-7
18823;-1;19;538;50;-66;-11
19273;5;-9;477;29;18;1
19724;-67;29;670;67;-3;13
20175;-38;10;784;40;54;12
20626;-31;41;350;40;-21;2
21076;-1;17;271;-26;49;0
21528;-16;-10;471;55;199;-1
21979;-20;55;372;-3;-136;-4
22430;-1;155;652;98;-240;5
22898;32;113;942;-211;21;-5
23349;0;-69;378;-17;949;4
23802;26;1;269;-545;-544;26
24254;290;154;495;21;-325;-1
24706;114;97;739;102;-234;-36
25156;47;-45;752;12;257;-28
25608;124;111;702;-51;7;-67
26059;135;-10;664;-114;151;-203
26511;184;15;782;-303;176;-186
26961;61;44;575;-256;23;-212
27424;41;3;510;-289;-41;-243
27876;35;4;413;-227;-92;-256
28326;105;50;449;-353;-56;-285
28778;132;186;480;-251;-154;-255
29230;102;74;1150;-149;-30;-165
29681;45;13;1484;-203;-189;-198
30133;73;-58;650;151;-261;-17
30584;42;23;590;109;-183;-2
31035;50;-8;747;65;-112;8
31495;-2;-53;208;-43;74;3
31956;-19;-11;379;33;140;-10
32408;-5;-13;341;-38;79;-10
32859;-4;-16;285;-20;-20;-9
33310;-26;-6;390;44;-144;14
33761;-24;23;499;-18;-84;141
34212;17;-28;518;44;-22;119
34663;-9;-28;526;-32;-88;26
35113;83;-55;463;25;35;-43
35565;-49;-43;379;-31;33;-29
36016;-31;-16;285;11;113;-3
36467;-17;-12;487;26;38;15
36929;6;4;470;-2;-95;40
37380;-17;59;534;-48;-47;41
37831;-42;-10;568;-22;25;121
38282;38;-29;496;-48;65;2
38732;-50;20;621;-199;120;-18
39184;-79;69;638;-92;162;-22
39638;-169;48;572;77;68;-33
40091;-176;135;259;-71;18;13
40543;-84;45;502;127;-98;0
40993;-72;36;526;-6;112;106
41456;-43;31;510;34;-95;3
41907;-136;46;418;-63;-16;-36
42358;-4;17;440;136;-66;-32
42809;-68;56;537;-18;20;202
43260;23;-19;567;136;22;83
43711;-48;10;512;-91;89;-31
44163;-32;39;571;6;-16;0
44615;-9;56;530;-109;27;0
45066;-6;93;615;69;-15;-41
45516;52;-6;506;29;48;-30
45968;49;-15;431;-46;14;-3
46430;-50;53;511;-27;-66;8
46881;-44;-117;215;-37;1005;1
47332;-27;72;368;199;-427;16
47787;-21;68;899;84;-295;-2
48237;-26;87;858;0;-39;39
48687;-16;53;570;-319;187;18
49137;-6;142;581;7;23;-21
49589;-56;111;657;202;-68;23
50039;-70;78;572;-29;-108;3
50491;24;18;458;82;5;-14
50953;-49;48;520;45;-7;-8
51403;-14;67;330;84;-49;-5
51855;-51;39;416;55;4;1
52305;-30;38;415;116;-25;-16
52756;-7;110;518;-51;-11;-11
53207;12;62;347;-18;-18;4
53657;75;52;458;114;-141;-24
54109;-1;15;346;27;32;-7
54559;51;51;526;-55;-39;-18
55011;14;-9;409;-27;31;32
55461;-43;33;153;32;-10;-11
55926;-17;28;509;-239;35;-93
56378;-18;10;519;-59;20;-182
56832;-30;42;557;-82;24;-227
57283;-15;46;293;-422;-19;-222
57737;-56;148;348;-307;-3;-245
58188;77;-32;648;-194;-17;-272
58639;145;294;905;-162;-350;-288
59090;155;74;998;-711;-185;-326
59541;-40;-38;867;-135;-159;-210
59993;-20;-1;528;101;-175;-16
60454;26;-8;546;-4;-47;-4
60906;-14;-13;615;-160;-24;-6
61357;-16;-13;550;-18;-10;-20
61808;-56;6;560;41;22;13
62259;65;-71;434;29;-20;-30
62710;-76;-18;586;-118;166;-17
63161;-233;50;644;-98;87;12
63614;56;-18;558;-48;76;24
64065;-66;-57;421;-24;14;-33
64517;-66;-23;375;-108;-26;-2
64967;-50;30;256;123;16;189
65432;-57;-64;558;40;29;43
65883;-23;16;336;-16;-141;-75
66334;-17;-28;469;0;45;-35
66785;10;-2;512;-23;13;-34
67236;10;-23;575;-59;25;4
67687;-23;16;451;-100;-76;30
68139;8;-18;531;29;-13;27
